timestamp,red,ir
1766327387.7274218,122822,116559
1766327387.7384408,122419,116449
1766327387.749458,122419,116449
1766327387.7604795,122419,116449
1766327387.7715209,122825,116567
1766327387.7825372,122463,116473
1766327387.7936158,122463,116473
1766327387.8046591,122591,116451
1766327387.8156998,122518,116492
1766327387.826736,122518,116492
1766327387.8377829,122518,116492
1766327387.8488207,122322,116351
1766327387.859861,122561,116507
1766327387.8709304,122561,116507
1766327387.8819675,122561,116507
1766327387.893002,122198,116325
1766327387.9040713,122641,116560
1766327387.915118,122641,116560
1766327387.9261582,122222,116301
1766327387.9371986,122666,116545
1766327387.9482381,122666,116545
1766327387.9592776,122666,116545
1766327387.9703352,122261,116339
1766327387.9813921,122700,116557
1766327387.992431,122700,116557
1766327388.0034943,122312,116374
1766327388.0145357,122721,116564
1766327388.0255804,122721,116564
1766327388.0366182,122721,116564
1766327388.0476744,122423,116419
1766327388.0587118,122790,116586
1766327388.0697463,122790,116586
1766327388.0807872,122790,116586
1766327388.0918279,122465,116445
1766327388.1028638,122814,116600
1766327388.1139255,122814,116600
1766327388.1249652,122466,116408
1766327388.1360016,122818,116586
1766327388.1472661,122818,116586
1766327388.1588426,122818,116586
1766327388.1700695,122492,116427
1766327388.1812983,122865,116616
1766327388.192429,122865,116616
1766327388.2035456,122519,116450
1766327388.2148204,122706,116551
1766327388.2262132,122706,116551
1766327388.2373593,122706,116551
1766327388.2483692,122622,116475
1766327388.2593405,122340,116389
1766327388.270316,122340,116389
1766327388.2812772,122652,116479
1766327388.2922375,122191,116330
1766327388.3031962,122191,116330
1766327388.314154,122191,116330
1766327388.3251147,122739,116523
1766327388.3360717,122148,116324
1766327388.3470247,122148,116324
1766327388.357976,122148,116324
1766327388.3689756,122809,116530
1766327388.3799381,122183,116329
1766327388.3908925,122183,116329
1766327388.4020064,122813,116564
1766327388.413061,122224,116358
1766327388.4240336,122224,116358
1766327388.4349895,122224,116358
1766327388.4459429,122844,116546
1766327388.4569004,122258,116344
1766327388.4678652,122258,116344
1766327388.4788187,122258,116344
1766327388.4897718,122844,116529
1766327388.5007255,122324,116389
1766327388.5116775,122324,116389
1766327388.5226347,122903,116562
1766327388.5335877,122341,116416
1766327388.5445402,122341,116416
1766327388.555497,122341,116416
1766327388.5664542,122849,116530
1766327388.577452,122328,116383
1766327388.588445,122328,116383
1766327388.5994818,122575,116395
1766327388.6104453,122371,116407
1766327388.6214209,122371,116407
1766327388.6323776,122371,116407
1766327388.6433315,122406,116353
1766327388.654292,122427,116442
1766327388.6652586,122427,116442
1766327388.676212,122427,116442
1766327388.6871653,122396,116345
1766327388.698119,122484,116456
1766327388.7090707,122484,116456
1766327388.7200308,122417,116384
1766327388.7309878,122506,116483
1766327388.7419384,122506,116483
1766327388.75289,122506,116483
1766327388.7638469,122483,116385
1766327388.7748315,122603,116474
1766327388.7857864,122603,116474
1766327388.7967389,122603,116474
1766327388.807689,122548,116406
1766327388.818665,122659,116512
1766327388.82962,122659,116512
1766327388.8405757,122610,116431
1766327388.8515282,122678,116508
1766327388.8624794,122678,116508
1766327388.8734493,122678,116508
1766327388.8844032,122599,116437
1766327388.8953557,122745,116533
1766327388.9063067,122745,116533
1766327388.9172633,122593,116405
