t,red,ir
1766854703.3975172,242071,224974
1766854703.407523,242071,224974
1766854703.4175327,241921,224868
1766854703.4275198,242049,224956
1766854703.4388394,242049,224956
1766854703.4475434,242049,224956
1766854703.457524,241942,224870
1766854703.4675236,242073,224976
1766854703.4775102,242073,224976
1766854703.4875119,242073,224976
1766854703.497509,241949,224874
1766854703.5075083,242106,224976
1766854703.5175173,242106,224976
1766854703.5275068,242106,224976
1766854703.5375054,241976,224883
1766854703.5475056,242118,224976
1766854703.5575056,242118,224976
1766854703.567526,242118,224976
1766854703.5775106,242001,224878
1766854703.587509,242130,224982
1766854703.597508,242130,224982
1766854703.607505,242130,224982
1766854703.617504,242046,224894
1766854703.6275046,242155,224977
1766854703.637506,242155,224977
1766854703.6478515,242155,224977
1766854703.6575317,242060,224899
1766854703.6675117,242163,224988
1766854703.6775079,242163,224988
1766854703.68751,242163,224988
1766854703.6975095,242085,224915
1766854703.7075062,242118,224974
1766854703.7175076,242118,224974
1766854703.7275054,242118,224974
1766854703.737505,242061,224894
1766854703.7475066,241886,224884
1766854703.7575066,241886,224884
1766854703.7675068,241886,224884
1766854703.7775078,241812,224808
1766854703.7875264,241667,224812
1766854703.7975097,241667,224812
1766854703.8075092,241667,224812
1766854703.8175356,241484,224679
1766854703.8275125,241640,224806
1766854703.8375058,241640,224806
1766854703.8475068,241640,224806
1766854703.8575232,241405,224637
1766854703.8675072,241734,224837
1766854703.8775134,241734,224837
1766854703.8875115,241734,224837
1766854703.8975291,241456,224677
1766854703.9075267,241875,224886
1766854703.9175286,241875,224886
1766854703.9275506,241875,224886
1766854703.9380474,241584,224724
1766854703.9475737,241961,224907
1766854703.9575317,241961,224907
1766854703.9675384,241961,224907
1766854703.9775212,241676,224749
1766854703.987527,242023,224908
1766854703.9975226,242023,224908
1766854704.007527,242023,224908
1766854704.0175188,241722,224771
1766854704.0275269,241972,224909
1766854704.0375273,241972,224909
1766854704.0475428,241972,224909
1766854704.0575328,241744,224754
1766854704.0675304,241881,224910
1766854704.0775228,241881,224910
1766854704.0875149,241881,224910
1766854704.097507,241760,224765
1766854704.1075227,241828,224902
1766854704.1175086,241828,224902
1766854704.1275046,241828,224902
1766854704.137525,241793,224775
1766854704.1475105,241967,224963
1766854704.157508,241967,224963
1766854704.1675065,241967,224963
1766854704.1775062,241836,224793
1766854704.1875064,242051,225012
1766854704.1975067,242051,225012
1766854704.2075067,242051,225012
1766854704.217504,241886,224806
1766854704.2275054,242073,224889
1766854704.2375042,242073,224889
1766854704.247508,242073,224889
1766854704.2575064,241927,224813
1766854704.267504,242098,224817
1766854704.2775204,242098,224817
1766854704.2875328,242098,224817
1766854704.2975101,241942,224811
1766854704.3075488,242142,224894
1766854704.3181057,242142,224894
1766854704.3275254,242142,224894
1766854704.3375306,242000,224828
1766854704.347509,242106,224938
1766854704.3575065,242106,224938
1766854704.367503,242106,224938
1766854704.3775146,242116,224842
